"Hole,LocationID,FrontDistance,Side,SideDistance,Difficulty,GreenDepth"
"1,A,7,C,0,1.0,30"
"1,B,21,R,7,2.0,30"
"1,C,7,L,6,3.0,30"
"1,D,21,R,7,2.0,30"
"1,E,8,L,5,3.0,30"
"1,F,21,R,5,2.0,30"
"1,G,12,C,0,1.0,30"
"1,H,20,L,5,3.0,30"
"1,I,5,R,5,3.0,30"
"2,A,6,R,6,2.0,27"
"2,B,7,L,7,3.0,27"
"2,C,6,R,9,2.0,27"
"2,D,7,L,9,3.0,27"
"2,E,16,R,5,2.0,27"
"2,F,20,L,11,2.0,27"
"2,G,8,L,9,3.0,27"
"3,A,9,L,8,2.0,23"
"3,B,16,R,6,2.0,23"
"3,C,9,L,8,2.0,23"
"3,D,16,R,9,2.0,23"
"3,E,18,C,0,1.0,23"
"3,F,9,L,8,2.0,23"
"3,G,16,L,6,2.0,23"
"4,A,10,L,7,2.0,19"
"4,B,6,R,6,3.0,19"
"4,C,7,L,5,3.0,19"
"4,D,6,R,6,2.0,19"
"4,E,11,R,7,1.0,19"
"4,F,6,R,10,2.0,19"
"4,G,10,L,7,2.0,19"
"5,A,23,L,6,2.0,30"
"5,B,7,R,6,2.0,30"
"5,C,18,L,6,2.0,30"
"5,D,6,R,5,3.0,30"
"5,E,18,L,6,2.0,30"
"5,F,6,R,6,3.0,30"
"5,G,12,C,0,1.0,30"
"6,A,15,L,5,3.0,22"
"6,B,15,L,9,3.0,22"
"6,C,6,L,6,3.0,22"
"6,D,15,R,9,2.0,22"
"6,E,7,L,12,2.0,22"
"6,F,17,C,0,2.0,22"
"6,G,6,R,8,3.0,22"
"7,A,14,C,0,1.0,27"
"7,B,12,L,4,2.0,27"
"7,C,16,R,6,2.0,27"
"7,D,11,L,4,2.0,27"
"7,E,10,C,0,1.0,27"
"7,F,15,L,9,1.0,27"
"7,G,7,R,7,2.0,27"
"8,A,8,R,7,2.0,23"
"8,B,11,C,0,1.0,23"
"8,C,8,R,10,2.0,23"
"8,D,15,R,6,2.0,23"
"8,E,9,L,8,2.0,23"
"8,F,18,C,0,1.0,23"
"8,G,9,R,7,2.0,23"
"9,A,14,R,9,2.0,22"
"9,B,6,L,5,3.0,22"
"9,C,14,R,9,2.0,22"
"9,D,7,L,5,3.0,22"
"9,E,17,L,3,2.0,22"
"9,F,6,L,9,2.0,22"
"9,G,14,R,12,1.0,22"
"10,A,6,L,10,2.0,25"
"10,B,17,R,8,3.0,25"
"10,C,6,L,10,2.0,25"
"10,D,16,R,7,2.0,25"
"10,E,7,R,5,3.0,25"
"10,F,16,R,7,2.0,25"
"10,G,7,L,10,2.0,25"
"11,A,10,R,8,3.0,26"
"11,B,16,L,6,2.0,26"
"11,C,9,R,7,3.0,26"
"11,D,16,L,7,2.0,26"
"11,E,17,R,9,2.0,26"
"11,F,16,L,7,2.0,26"
"11,G,10,R,7,2.0,26"
"12,A,20,L,5,3.0,25"
"12,B,9,R,8,2.0,25"
"12,C,21,L,5,3.0,25"
"12,D,7,R,8,2.0,25"
"12,E,14,R,8,1.0,25"
"12,F,16,L,5,2.0,25"
"12,G,9,R,9,2.0,25"
"13,A,8,R,8,2.0,30"
"13,B,9,L,10,2.0,30"
"13,C,9,R,6,2.0,30"
"13,D,9,R,10,1.0,30"
"13,E,13,L,9,2.0,30"
"13,F,9,L,10,1.0,30"
"13,G,12,R,6,2.0,30"
"14,A,9,C,0,2.0,25"
"14,B,7,R,8,3.0,25"
"14,C,9,C,0,2.0,25"
"14,D,12,R,7,2.0,25"
"14,E,4,R,7,3.0,25"
"14,F,5,L,7,3.0,25"
"14,G,12,C,0,2.0,25"
"15,A,6,L,6,3.0,23"
"15,B,14,R,7,2.0,23"
"15,C,10,L,6,2.0,23"
"15,D,12,R,9,2.0,23"
"15,E,12,L,6,2.0,23"
"15,F,16,L,4,2.0,23"
"15,G,14,R,9,2.0,23"
"16,A,20,R,9,3.0,29"
"16,B,14,L,7,2.0,29"
"16,C,20,R,6,3.0,29"
"16,D,14,L,8,3.0,29"
"16,E,20,R,8,2.0,29"
"16,F,22,L,4,3.0,29"
"16,G,14,L,11,3.0,29"
"17,A,7,R,8,3.0,18"
"17,B,13,L,5,3.0,18"
"17,C,8,R,8,3.0,18"
"17,D,10,L,6,2.0,18"
"17,E,12,R,8,2.0,18"
"17,F,13,L,5,2.0,18"
"17,G,8,L,6,3.0,18"
"18,A,26,R,10,2.0,31"
"18,B,8,R,9,3.0,31"
"18,C,24,R,10,2.0,31"
"18,D,8,R,8,1.0,31"
"18,E,8,R,12,2.0,31"
"18,F,30,C,0,1.0,31"
"18,G,22,L,8,1.0,31"
